Discriminant ? Level ? w_m ? Genus ? Elliptic Point Counts
6 ? 29 ? 6 ? 2 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
6 ? 29 ? 29 ? 3 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 29 ? 58 ? 2 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
6 ? 29 ? 87 ? 3 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
6 ? 29 ? 174 ? 0 ? <2, 14>,<3, 0>,<4, 0>,<6, 0> 
6 ? 31 ? 1 ? 5 ? [ 2, 0 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 31 ? 2 ? 3 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
6 ? 31 ? 3 ? 2 ? <2, 0>,<3, 0>,<4, 0>,<6, 4> 
6 ? 31 ? 6 ? 2 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
6 ? 31 ? 31 ? 3 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
6 ? 31 ? 62 ? 3 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
6 ? 31 ? 93 ? 2 ? <2, 4>,<3, 4>,<4, 0>,<6, 0> 
6 ? 31 ? 186 ? 0 ? <2, 12>,<3, 4>,<4, 0>,<6, 0> 
6 ? 35 ? 1 ? 9 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
6 ? 35 ? 2 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 3 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 5 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 6 ? 3 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 7 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 10 ? 3 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 14 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 15 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 21 ? 3 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
6 ? 35 ? 30 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
