Discriminant ? Level ? w_m ? Genus ? Elliptic Point Counts
14 ? 1 ? 1 ? 1 ? [ 2, 2 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 1 ? 2 ? 0 ? <2, 2>,<3, 0>,<4, 2>,<6, 0> 
14 ? 1 ? 7 ? 1 ? <2, 1>,<3, 0>,<4, 0>,<6, 0> 
14 ? 1 ? 14 ? 0 ? <2, 5>,<3, 0>,<4, 0>,<6, 0> 
14 ? 3 ? 1 ? 3 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 3 ? 2 ? 1 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
14 ? 3 ? 3 ? 2 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 3 ? 6 ? 2 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 3 ? 7 ? 2 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 3 ? 14 ? 0 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 3 ? 21 ? 1 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
14 ? 3 ? 42 ? 1 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
14 ? 5 ? 1 ? 3 ? [ 2, 4 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 5 ? 2 ? 1 ? <2, 0>,<3, 0>,<4, 4>,<6, 0> 
14 ? 5 ? 5 ? 2 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 5 ? 7 ? 2 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 5 ? 10 ? 2 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 5 ? 14 ? 0 ? <2, 10>,<3, 0>,<4, 0>,<6, 0> 
14 ? 5 ? 35 ? 1 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
14 ? 5 ? 70 ? 1 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
14 ? 11 ? 1 ? 7 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 11 ? 2 ? 3 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
14 ? 11 ? 7 ? 4 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 11 ? 11 ? 3 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
14 ? 11 ? 14 ? 4 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 11 ? 22 ? 3 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
14 ? 11 ? 77 ? 2 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 11 ? 154 ? 2 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 13 ? 1 ? 7 ? [ 2, 4 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 13 ? 2 ? 3 ? <2, 0>,<3, 0>,<4, 4>,<6, 0> 
14 ? 13 ? 7 ? 4 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 13 ? 13 ? 4 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 13 ? 14 ? 2 ? <2, 10>,<3, 0>,<4, 0>,<6, 0> 
14 ? 13 ? 26 ? 4 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 13 ? 91 ? 3 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
14 ? 13 ? 182 ? 1 ? <2, 14>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 1 ? 13 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 15 ? 2 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 3 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 5 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 6 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 7 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 10 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 14 ? 3 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 15 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 21 ? 5 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 30 ? 5 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 35 ? 5 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 42 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 70 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 105 ? 5 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 15 ? 210 ? 5 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 17 ? 1 ? 9 ? [ 2, 4 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 17 ? 2 ? 3 ? <2, 4>,<3, 0>,<4, 4>,<6, 0> 
14 ? 17 ? 7 ? 5 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 17 ? 14 ? 5 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 17 ? 17 ? 5 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 17 ? 34 ? 5 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 17 ? 119 ? 5 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 17 ? 238 ? 3 ? <2, 10>,<3, 0>,<4, 0>,<6, 0> 
14 ? 19 ? 1 ? 11 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 19 ? 2 ? 5 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
14 ? 19 ? 7 ? 6 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 19 ? 14 ? 4 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 19 ? 19 ? 6 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 19 ? 38 ? 6 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 19 ? 133 ? 5 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
14 ? 19 ? 266 ? 1 ? <2, 20>,<3, 0>,<4, 0>,<6, 0> 
14 ? 23 ? 1 ? 13 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 23 ? 2 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 23 ? 7 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 23 ? 14 ? 5 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 23 ? 23 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 23 ? 46 ? 5 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 23 ? 161 ? 3 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
14 ? 23 ? 322 ? 5 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 29 ? 1 ? 15 ? [ 2, 4 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 29 ? 2 ? 7 ? <2, 0>,<3, 0>,<4, 4>,<6, 0> 
14 ? 29 ? 7 ? 8 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 29 ? 14 ? 8 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 29 ? 29 ? 5 ? <2, 14>,<3, 0>,<4, 0>,<6, 0> 
14 ? 29 ? 58 ? 7 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
14 ? 29 ? 203 ? 6 ? <2, 10>,<3, 0>,<4, 0>,<6, 0> 
14 ? 29 ? 406 ? 4 ? <2, 18>,<3, 0>,<4, 0>,<6, 0> 
14 ? 31 ? 1 ? 17 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 31 ? 2 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 31 ? 7 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 31 ? 14 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 31 ? 31 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 31 ? 62 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 31 ? 217 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 31 ? 434 ? 3 ? <2, 24>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 1 ? 25 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 33 ? 2 ? 11 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 3 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 6 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 7 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 11 ? 11 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 14 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 21 ? 11 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 22 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 33 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 42 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 66 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 77 ? 9 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 154 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 231 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 33 ? 462 ? 11 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 37 ? 1 ? 19 ? [ 2, 4 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 37 ? 2 ? 9 ? <2, 0>,<3, 0>,<4, 4>,<6, 0> 
14 ? 37 ? 7 ? 10 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 37 ? 14 ? 10 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 37 ? 37 ? 9 ? <2, 6>,<3, 0>,<4, 0>,<6, 0> 
14 ? 37 ? 74 ? 5 ? <2, 22>,<3, 0>,<4, 0>,<6, 0> 
14 ? 37 ? 259 ? 8 ? <2, 10>,<3, 0>,<4, 0>,<6, 0> 
14 ? 37 ? 518 ? 6 ? <2, 18>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 1 ? 29 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 39 ? 2 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 3 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 6 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 7 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 13 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 14 ? 11 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 21 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 26 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 39 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 42 ? 13 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 78 ? 13 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 91 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 182 ? 9 ? <2, 24>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 273 ? 13 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 39 ? 546 ? 9 ? <2, 24>,<3, 0>,<4, 0>,<6, 0> 
14 ? 41 ? 1 ? 21 ? [ 2, 4 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 41 ? 2 ? 9 ? <2, 4>,<3, 0>,<4, 4>,<6, 0> 
14 ? 41 ? 7 ? 11 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 41 ? 14 ? 11 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 41 ? 41 ? 11 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 41 ? 82 ? 11 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 41 ? 287 ? 11 ? <2, 2>,<3, 0>,<4, 0>,<6, 0> 
14 ? 41 ? 574 ? 7 ? <2, 18>,<3, 0>,<4, 0>,<6, 0> 
14 ? 43 ? 1 ? 23 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 43 ? 2 ? 11 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
14 ? 43 ? 7 ? 12 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 43 ? 14 ? 12 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 43 ? 43 ? 11 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
14 ? 43 ? 86 ? 7 ? <2, 20>,<3, 0>,<4, 0>,<6, 0> 
14 ? 43 ? 301 ? 10 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
14 ? 43 ? 602 ? 6 ? <2, 24>,<3, 0>,<4, 0>,<6, 0> 
14 ? 47 ? 1 ? 25 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
14 ? 47 ? 2 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 47 ? 7 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 47 ? 14 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 47 ? 47 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 47 ? 94 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
14 ? 47 ? 329 ? 7 ? <2, 24>,<3, 0>,<4, 0>,<6, 0> 
14 ? 47 ? 658 ? 11 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 1 ? 1 ? 1 ? [ 2, 0 ],[ 3, 2 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 1 ? 3 ? 0 ? <2, 2>,<3, 0>,<4, 0>,<6, 2> 
15 ? 1 ? 5 ? 1 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
15 ? 1 ? 15 ? 0 ? <2, 4>,<3, 1>,<4, 0>,<6, 0> 
15 ? 2 ? 1 ? 3 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 2 ? 2 ? 2 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 2 ? 3 ? 1 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
15 ? 2 ? 5 ? 2 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 2 ? 6 ? 2 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 2 ? 10 ? 1 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
15 ? 2 ? 15 ? 0 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 2 ? 30 ? 1 ? <2, 4>,<3, 0>,<4, 0>,<6, 0> 
15 ? 7 ? 1 ? 5 ? [ 2, 0 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 7 ? 3 ? 1 ? <2, 4>,<3, 0>,<4, 0>,<6, 4> 
15 ? 7 ? 5 ? 3 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
15 ? 7 ? 7 ? 1 ? <2, 8>,<3, 2>,<4, 0>,<6, 0> 
15 ? 7 ? 15 ? 3 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
15 ? 7 ? 21 ? 3 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
15 ? 7 ? 35 ? 3 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
15 ? 7 ? 105 ? 1 ? <2, 8>,<3, 4>,<4, 0>,<6, 0> 
15 ? 11 ? 1 ? 9 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 11 ? 3 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 11 ? 5 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 11 ? 11 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 11 ? 15 ? 5 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 11 ? 33 ? 3 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 11 ? 55 ? 1 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
15 ? 11 ? 165 ? 3 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 13 ? 1 ? 9 ? [ 2, 0 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 13 ? 3 ? 3 ? <2, 4>,<3, 0>,<4, 0>,<6, 4> 
15 ? 13 ? 5 ? 5 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
15 ? 13 ? 13 ? 3 ? <2, 8>,<3, 4>,<4, 0>,<6, 0> 
15 ? 13 ? 15 ? 5 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
15 ? 13 ? 39 ? 5 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
15 ? 13 ? 65 ? 5 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
15 ? 13 ? 195 ? 1 ? <2, 16>,<3, 2>,<4, 0>,<6, 0> 
15 ? 14 ? 1 ? 17 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 14 ? 2 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 3 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 5 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 6 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 7 ? 5 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 10 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 14 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 15 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 21 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 30 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 35 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 42 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 70 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 105 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 14 ? 210 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 17 ? 1 ? 13 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 17 ? 3 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 17 ? 5 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 17 ? 15 ? 5 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 17 ? 17 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 17 ? 51 ? 7 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 17 ? 85 ? 5 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 17 ? 255 ? 1 ? <2, 24>,<3, 0>,<4, 0>,<6, 0> 
15 ? 19 ? 1 ? 13 ? [ 2, 0 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 19 ? 3 ? 5 ? <2, 4>,<3, 0>,<4, 0>,<6, 4> 
15 ? 19 ? 5 ? 7 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
15 ? 19 ? 15 ? 5 ? <2, 8>,<3, 2>,<4, 0>,<6, 0> 
15 ? 19 ? 19 ? 7 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
15 ? 19 ? 57 ? 5 ? <2, 8>,<3, 4>,<4, 0>,<6, 0> 
15 ? 19 ? 95 ? 7 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
15 ? 19 ? 285 ? 3 ? <2, 16>,<3, 4>,<4, 0>,<6, 0> 
15 ? 22 ? 1 ? 25 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 22 ? 2 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 3 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 5 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 6 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 10 ? 11 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 11 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 15 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 22 ? 11 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 30 ? 11 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 33 ? 11 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 55 ? 5 ? <2, 32>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 66 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 110 ? 13 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 165 ? 11 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 22 ? 330 ? 11 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 23 ? 1 ? 17 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 23 ? 3 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 23 ? 5 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 23 ? 15 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 23 ? 23 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 23 ? 69 ? 9 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 23 ? 115 ? 5 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
15 ? 23 ? 345 ? 7 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 1 ? 29 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 26 ? 2 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 3 ? 13 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 5 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 6 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 10 ? 13 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 13 ? 13 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 15 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 26 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 30 ? 13 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 39 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 65 ? 15 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 78 ? 13 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 130 ? 13 ? <2, 8>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 195 ? 9 ? <2, 24>,<3, 0>,<4, 0>,<6, 0> 
15 ? 26 ? 390 ? 11 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
15 ? 29 ? 1 ? 21 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 29 ? 3 ? 11 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 29 ? 5 ? 11 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 29 ? 15 ? 11 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 29 ? 29 ? 11 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
15 ? 29 ? 87 ? 5 ? <2, 24>,<3, 0>,<4, 0>,<6, 0> 
15 ? 29 ? 145 ? 7 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
15 ? 29 ? 435 ? 7 ? <2, 16>,<3, 0>,<4, 0>,<6, 0> 
15 ? 31 ? 1 ? 21 ? [ 2, 0 ],[ 3, 4 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 31 ? 3 ? 9 ? <2, 4>,<3, 0>,<4, 0>,<6, 4> 
15 ? 31 ? 5 ? 11 ? <2, 0>,<3, 4>,<4, 0>,<6, 0> 
15 ? 31 ? 15 ? 9 ? <2, 8>,<3, 2>,<4, 0>,<6, 0> 
15 ? 31 ? 31 ? 11 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
15 ? 31 ? 93 ? 9 ? <2, 8>,<3, 4>,<4, 0>,<6, 0> 
15 ? 31 ? 155 ? 11 ? <2, 0>,<3, 2>,<4, 0>,<6, 0> 
15 ? 31 ? 465 ? 7 ? <2, 16>,<3, 4>,<4, 0>,<6, 0> 
15 ? 34 ? 1 ? 37 ? [ 2, 0 ],[ 3, 0 ],[ 4, 0 ],[ 6, 0 ] 
15 ? 34 ? 2 ? 19 ? <2, 0>,<3, 0>,<4, 0>,<6, 0> 
